,State,Type,Name,Office,Party,Status,Incumbent,Election_Status,Election
3584,Indiana,Unknown,Karen Whitney,Indiana House of Representatives District 28,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3585,Indiana,Unknown,Laura Alerding,Indiana House of Representatives District 29,Republican,On the BallotPrimary,N,On the Ballot,Primary
3586,Indiana,Unknown,Alaina Shonkwiler,Indiana House of Representatives District 29,Republican,On the BallotPrimary,N,On the Ballot,Primary
3587,Indiana,Unknown,Christopher Hartig,Indiana House of Representatives District 29,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3588,Indiana,Unknown,Michael Karickhoff,Indiana House of Representatives District 30,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3589,Indiana,Unknown,Michael Katcher,Indiana House of Representatives District 30,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3590,Indiana,Unknown,Lori Goss-Reaves,Indiana House of Representatives District 31,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3591,Indiana,Unknown,Victoria Garcia Wilburn,Indiana House of Representatives District 32,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3592,Indiana,Unknown,Patricia Bratton,Indiana House of Representatives District 32,Republican,On the BallotPrimary,N,On the Ballot,Primary
3593,Indiana,Unknown,John Prescott,Indiana House of Representatives District 33,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3594,Indiana,Unknown,Gregory LeMaster,Indiana House of Representatives District 33,Republican,On the BallotPrimary,N,On the Ballot,Primary
3595,Indiana,Unknown,John E. Bartlett,Indiana House of Representatives District 33,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3596,Indiana,Unknown,Jim Phillips,Indiana House of Representatives District 33,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3597,Indiana,Unknown,Sue Errington,Indiana House of Representatives District 34,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3598,Indiana,Unknown,Susan Dillon,Indiana House of Representatives District 34,Republican,On the BallotPrimary,N,On the Ballot,Primary
3599,Indiana,Unknown,Elizabeth Rowray,Indiana House of Representatives District 35,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3600,Indiana,Unknown,Philip Gift,Indiana House of Representatives District 35,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3601,Indiana,Unknown,Kyle Pierce,Indiana House of Representatives District 36,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3602,Indiana,Unknown,Todd Huston,Indiana House of Representatives District 37,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3603,Indiana,Unknown,Heath VanNatter,Indiana House of Representatives District 38,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3604,Indiana,Unknown,Carl Seese,Indiana House of Representatives District 38,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3605,Indiana,Unknown,Daniel Lopez,Indiana House of Representatives District 39,Republican,On the BallotPrimary,N,On the Ballot,Primary
3606,Indiana,Unknown,Matt McNally,Indiana House of Representatives District 39,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3607,Indiana,Unknown,Gregory Steuerwald,Indiana House of Representatives District 40,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3608,Indiana,Unknown,Brian Paasch,Indiana House of Representatives District 40,Republican,On the BallotPrimary,N,On the Ballot,Primary
3609,Indiana,Unknown,Robert Pope III,Indiana House of Representatives District 40,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3610,Indiana,Unknown,Mark Genda,Indiana House of Representatives District 41,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3611,Indiana,Unknown,Joe Sturm,Indiana House of Representatives District 41,Republican,On the BallotPrimary,N,On the Ballot,Primary
3612,Indiana,Unknown,Dan Sikes,Indiana House of Representatives District 41,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3613,Indiana,Unknown,Alan Morrison,Indiana House of Representatives District 42,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3614,Indiana,Unknown,Tim Yocum,Indiana House of Representatives District 42,Republican,On the BallotPrimary,N,On the Ballot,Primary
3615,Indiana,Unknown,Chad Harmon,Indiana House of Representatives District 42,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3616,Indiana,Unknown,Tonya Pfaff,Indiana House of Representatives District 43,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3617,Indiana,Unknown,Beau Baird,Indiana House of Representatives District 44,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3618,Indiana,Unknown,Bruce Borders,Indiana House of Representatives District 45,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3619,Indiana,Unknown,Jeff Ellington,Indiana House of Representatives District 45,Republican,On the BallotPrimary,N,On the Ballot,Primary
3620,Indiana,Unknown,Kellie Streeter,Indiana House of Representatives District 45,Republican,On the BallotPrimary,N,On the Ballot,Primary
3621,Indiana,Unknown,Bob Heaton,Indiana House of Representatives District 46,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3622,Indiana,Unknown,Kurtis Cummings,Indiana House of Representatives District 46,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3623,Indiana,Unknown,Robb Greene,Indiana House of Representatives District 47,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3624,Indiana,Unknown,Michael Potter,Indiana House of Representatives District 47,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3625,Indiana,Unknown,Doug Miller,Indiana House of Representatives District 48,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3626,Indiana,Unknown,Joanna King,Indiana House of Representatives District 49,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3627,Indiana,Unknown,Cindi Hajicek,Indiana House of Representatives District 49,Republican,On the BallotPrimary,N,On the Ballot,Primary
3628,Indiana,Unknown,Lorissa Sweet,Indiana House of Representatives District 50,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3629,Indiana,Unknown,Rob Miller,Indiana House of Representatives District 50,Republican,On the BallotPrimary,N,On the Ballot,Primary
3630,Indiana,Unknown,Joe Swisher,Indiana House of Representatives District 50,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3631,Indiana,Unknown,Tony Isa,Indiana House of Representatives District 51,Republican,On the BallotPrimary,N,On the Ballot,Primary
3632,Indiana,Unknown,Rhonda Sharp,Indiana House of Representatives District 51,Republican,On the BallotPrimary,N,On the Ballot,Primary
3633,Indiana,Unknown,Judy Rowe,Indiana House of Representatives District 51,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3634,Indiana,Unknown,Ben Smaltz,Indiana House of Representatives District 52,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3635,Indiana,Unknown,Curt Hammitt,Indiana House of Representatives District 52,Republican,On the BallotPrimary,N,On the Ballot,Primary
3636,Indiana,Unknown,Walt Sorg,Indiana House of Representatives District 52,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3637,Indiana,Unknown,Keely Butrum,Indiana House of Representatives District 53,Republican,On the BallotPrimary,N,On the Ballot,Primary
3638,Indiana,Unknown,Brian Evans,Indiana House of Representatives District 53,Republican,On the BallotPrimary,N,On the Ballot,Primary
3639,Indiana,Unknown,Ethan Lawson,Indiana House of Representatives District 53,Republican,On the BallotPrimary,N,On the Ballot,Primary
3640,Indiana,Unknown,Kevin Mandrell,Indiana House of Representatives District 53,Republican,On the BallotPrimary,N,On the Ballot,Primary
3641,Indiana,Unknown,Nate Anderson,Indiana House of Representatives District 53,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3642,Indiana,Unknown,Cory Criswell,Indiana House of Representatives District 54,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3643,Indiana,Unknown,Lindsay Patterson,Indiana House of Representatives District 55,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3644,Indiana,Unknown,Bradford Barrett,Indiana House of Representatives District 56,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3645,Indiana,Unknown,Craig Haggard,Indiana House of Representatives District 57,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3646,Indiana,Unknown,Michelle Davis,Indiana House of Representatives District 58,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3647,Indiana,Unknown,Sandy James,Indiana House of Representatives District 58,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3648,Indiana,Unknown,Ryan Lauer,Indiana House of Representatives District 59,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3649,Indiana,Unknown,Ross Thomas,Indiana House of Representatives District 59,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3650,Indiana,Unknown,Peggy Mayfield,Indiana House of Representatives District 60,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3651,Indiana,Unknown,Michelle Higgs,Indiana House of Representatives District 60,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3652,Indiana,Unknown,Matt Pierce,Indiana House of Representatives District 61,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3653,Indiana,Unknown,Dave Hall,Indiana House of Representatives District 62,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3654,Indiana,Unknown,Thomas Horrocks,Indiana House of Representatives District 62,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3655,Indiana,Unknown,Shane Lindauer,Indiana House of Representatives District 63,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3656,Indiana,Unknown,Teresa Kendall,Indiana House of Representatives District 63,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3657,Indiana,Unknown,Matt Hostettler,Indiana House of Representatives District 64,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3658,Indiana,Unknown,Dale Mallory,Indiana House of Representatives District 64,Republican,On the BallotPrimary,N,On the Ballot,Primary
3659,Indiana,Unknown,Christopher May,Indiana House of Representatives District 65,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3660,Indiana,Unknown,Zach Payne,Indiana House of Representatives District 66,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3661,Indiana,Unknown,James Baker,Indiana House of Representatives District 66,Republican,On the BallotPrimary,N,On the Ballot,Primary
3662,Indiana,Unknown,Rick Cannon,Indiana House of Representatives District 66,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3663,Indiana,Unknown,Jennifer David,Indiana House of Representatives District 66,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3664,Indiana,Unknown,Alex Zimmerman,Indiana House of Representatives District 67,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3665,Indiana,Unknown,Chad Meinders,Indiana House of Representatives District 67,Republican,On the BallotPrimary,N,On the Ballot,Primary
3666,Indiana,Unknown,Garrett Bascom,Indiana House of Representatives District 68,Republican,On the BallotPrimary,N,On the Ballot,Primary
3667,Indiana,Unknown,Lisa Barker,Indiana House of Representatives District 68,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3668,Indiana,Unknown,Jim Lucas,Indiana House of Representatives District 69,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3669,Indiana,Unknown,Brian Savilla,Indiana House of Representatives District 69,Republican,On the BallotPrimary,N,On the Ballot,Primary
3670,Indiana,Unknown,Trish Whitcomb,Indiana House of Representatives District 69,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3671,Indiana,Unknown,Karen Engleman,Indiana House of Representatives District 70,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3672,Indiana,Unknown,John Colburn,Indiana House of Representatives District 70,Republican,On the BallotPrimary,N,On the Ballot,Primary
3673,Indiana,Unknown,Rita Fleming,Indiana House of Representatives District 71,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3674,Indiana,Unknown,Scott Hawkins,Indiana House of Representatives District 71,Republican,On the BallotPrimary,N,On the Ballot,Primary
3675,Indiana,Unknown,James McClure Jr.,Indiana House of Representatives District 71,Republican,On the BallotPrimary,N,On the Ballot,Primary
3676,Indiana,Unknown,Edward Clere,Indiana House of Representatives District 72,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3677,Indiana,Unknown,Jason Applegate,Indiana House of Representatives District 72,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3678,Indiana,Unknown,Jennifer Meltzer,Indiana House of Representatives District 73,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3679,Indiana,Unknown,Edward Comstock II,Indiana House of Representatives District 73,Republican,On the BallotPrimary,N,On the Ballot,Primary
3680,Indiana,Unknown,Hollie Payton,Indiana House of Representatives District 73,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3681,Indiana,Unknown,Steve Bartels,Indiana House of Representatives District 74,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3682,Indiana,Unknown,Bob Compton,Indiana House of Representatives District 74,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3683,Indiana,Unknown,Cindy Ledbetter,Indiana House of Representatives District 75,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3684,Indiana,Unknown,Wendy McNamara,Indiana House of Representatives District 76,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3685,Indiana,Unknown,Alex Burton,Indiana House of Representatives District 77,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3686,Indiana,Unknown,Tim O'Brien,Indiana House of Representatives District 78,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3687,Indiana,Unknown,Matthew Lehman,Indiana House of Representatives District 79,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3688,Indiana,Unknown,Phil GiaQuinta,Indiana House of Representatives District 80,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3689,Indiana,Unknown,Martin Carbaugh,Indiana House of Representatives District 81,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3690,Indiana,Unknown,David Mervar,Indiana House of Representatives District 81,Republican,On the BallotPrimary,N,On the Ballot,Primary
3691,Indiana,Unknown,Abby Norden,Indiana House of Representatives District 81,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3692,Indiana,Unknown,Kyle Miller,Indiana House of Representatives District 82,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3693,Indiana,Unknown,Christopher Judy,Indiana House of Representatives District 83,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3694,Indiana,Unknown,Kyle Thele,Indiana House of Representatives District 83,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3695,Indiana,Unknown,Bob Morris,Indiana House of Representatives District 84,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3696,Indiana,Unknown,David Heine,Indiana House of Representatives District 85,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3697,Indiana,Unknown,Edward DeLaney,Indiana House of Representatives District 86,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3698,Indiana,Unknown,Carey Hamilton,Indiana House of Representatives District 87,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3699,Indiana,Unknown,Chris Jeter,Indiana House of Representatives District 88,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3700,Indiana,Unknown,Starr Hairston,Indiana House of Representatives District 88,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3701,Indiana,Unknown,Stephanie Yocum,Indiana House of Representatives District 88,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3702,Indiana,Unknown,Mitch Gore,Indiana House of Representatives District 89,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3703,Indiana,Unknown,Yvonne Metcalfe,Indiana House of Representatives District 89,Republican,On the BallotPrimary,N,On the Ballot,Primary
3704,Indiana,Unknown,Andrew Ireland,Indiana House of Representatives District 90,Republican,On the BallotPrimary,N,On the Ballot,Primary
3705,Indiana,Unknown,Tim McVey,Indiana House of Representatives District 90,Republican,On the BallotPrimary,N,On the Ballot,Primary
3706,Indiana,Unknown,David W. Waters,Indiana House of Representatives District 90,Republican,On the BallotPrimary,N,On the Ballot,Primary
3707,Indiana,Unknown,Elizabeth Williams,Indiana House of Representatives District 90,Republican,On the BallotPrimary,N,On the Ballot,Primary
3708,Indiana,Unknown,Dominique Davie,Indiana House of Representatives District 90,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3709,Indiana,Unknown,Robert Behning,Indiana House of Representatives District 91,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3710,Indiana,Unknown,Renee Pack,Indiana House of Representatives District 92,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3711,Indiana,Unknown,John L. Couch,Indiana House of Representatives District 92,Republican,On the BallotPrimary,N,On the Ballot,Primary
3712,Indiana,Unknown,Julie McGuire,Indiana House of Representatives District 93,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3713,Indiana,Unknown,Cherrish Pryor,Indiana House of Representatives District 94,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3714,Indiana,Unknown,John L. Bartlett,Indiana House of Representatives District 95,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3715,Indiana,Unknown,Autumn Carter,Indiana House of Representatives District 95,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3716,Indiana,Unknown,Gregory Porter,Indiana House of Representatives District 96,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3717,Indiana,Unknown,Justin Moed,Indiana House of Representatives District 97,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3718,Indiana,Unknown,Stephen Whitmer,Indiana House of Representatives District 97,Republican,On the BallotPrimary,N,On the Ballot,Primary
3719,Indiana,Unknown,Sarah Shydale,Indiana House of Representatives District 97,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3720,Indiana,Unknown,Mark Renholzberger,Indiana House of Representatives District 97,Libertarian,On the BallotGeneral,N,On the Ballot,General
3721,Indiana,Unknown,Robin Shackleford,Indiana House of Representatives District 98,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3722,Indiana,Unknown,Elizabeth Glass,Indiana House of Representatives District 98,Libertarian,On the BallotGeneral,N,On the Ballot,General
3723,Indiana,Unknown,Vanessa Summers,Indiana House of Representatives District 99,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3724,Indiana,Unknown,Felipe Rios,Indiana House of Representatives District 99,Republican,On the BallotPrimary,N,On the Ballot,Primary
3725,Indiana,Unknown,Robert Johnson,Indiana House of Representatives District 100,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3726,Indiana,Unknown,Joseph Bortka,Indiana House of Representatives District 100,Republican,On the BallotPrimary,N,On the Ballot,Primary
3727,Indiana,Local,Thomas Harris,Allen County Board of Commissioners District 1,Republican,On the BallotPrimary,N,On the Ballot,Primary
3728,Indiana,Local,Ron Turpin,Allen County Board of Commissioners District 1,Republican,On the BallotPrimary,N,On the Ballot,Primary
3729,Indiana,Local,Jon Brandenberger,Allen County Coroner,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3730,Indiana,Local,Andrew Roberts,Allen County Coroner,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3731,Indiana,Local,Michael Fruchey,Allen County Surveyor,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3732,Indiana,Local,David Devine,Allen County Surveyor,Republican,On the BallotPrimary,N,On the Ballot,Primary
3733,Indiana,Local,Samantha Chenery,Allen County Treasurer,Republican,On the BallotPrimary,N,On the Ballot,Primary
3734,Indiana,Local,Alfarena McGinty,Marion County Coroner,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3735,Indiana,Local,Debra Jenkins,Marion County Surveyor,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3736,Indiana,Local,Barbara Lawrence,Marion County Treasurer,Democratic,On the BallotPrimary,Y,On the Ballot,Primary
3737,Indiana,Local,Randy Wandell,Marion County Treasurer,Republican,On the BallotPrimary,N,On the Ballot,Primary
3738,Indiana,Local,Bob Kern,Marion County Treasurer,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3739,Indiana,Local,Robert Armstrong,Allen County Council At-large3 seats,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3740,Indiana,Local,Ken Fries,Allen County Council At-large3 seats,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3741,Indiana,Local,Kyle Kerley,Allen County Council At-large3 seats,Republican,On the BallotPrimary,Y,On the Ballot,Primary
3742,Indiana,Local,Lindsey Hammond,Allen County Council At-large3 seats,Republican,On the BallotPrimary,N,On the Ballot,Primary
3743,Indiana,Local,Nena Bailey,Allen County Council At-large3 seats,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3744,Indiana,Local,Nate Cardelli,Allen County Council At-large3 seats,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3745,Indiana,Local,Jorge Fernandez,Allen County Council At-large3 seats,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3746,Indiana,Local,Stephanie Henry,Allen County Council At-large3 seats,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3747,Indiana,Local,Kevin Hunter,Allen County Council At-large3 seats,Democratic,On the BallotPrimary,N,On the Ballot,Primary
3748,Iowa,Federal,Mariannette Miller-Meeks,U.S. House Iowa District 1,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3749,Iowa,Federal,David Pautsch,U.S. House Iowa District 1,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3750,Iowa,Federal,Christina Bohannan,U.S. House Iowa District 1,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3751,Iowa,Federal,Ashley Hinson,U.S. House Iowa District 2,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3752,Iowa,Federal,Stephen Kephart,U.S. House Iowa District 2,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3753,Iowa,Federal,Sarah Corkery,U.S. House Iowa District 2,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3754,Iowa,Federal,Jacob Wieland,U.S. House Iowa District 2,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3755,Iowa,Federal,Zach Nunn,U.S. House Iowa District 3,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3756,Iowa,Federal,Lanon Baccam,U.S. House Iowa District 3,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3757,Iowa,Federal,Melissa Vine,U.S. House Iowa District 3,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3758,Iowa,Federal,Randy Feenstra,U.S. House Iowa District 4,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3759,Iowa,Federal,Kevin Virgil,U.S. House Iowa District 4,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3760,Iowa,Federal,Jay Brown,U.S. House Iowa District 4,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3761,Iowa,Federal,Ryan Melton,U.S. House Iowa District 4,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3762,Iowa,Unknown,Jeff Taylor,Iowa State Senate District 2,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3763,Iowa,Unknown,Tim Kraayenbrink,Iowa State Senate District 4,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3764,Iowa,Unknown,Jason Schultz,Iowa State Senate District 6,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3765,Iowa,Unknown,David Davis,Iowa State Senate District 6,Libertarian,Candidacy DeclaredGeneral,N,Candidacy Declared,General
3766,Iowa,Unknown,Mark Costello,Iowa State Senate District 8,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3767,Iowa,Unknown,Ryan Lee Roenfeld,Iowa State Senate District 8,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3768,Iowa,Unknown,Dan Dawson,Iowa State Senate District 10,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3769,Iowa,Unknown,Steve Gorman,Iowa State Senate District 10,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3770,Iowa,Unknown,Amy Sinclair,Iowa State Senate District 12,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3771,Iowa,Unknown,Nicole Loew,Iowa State Senate District 12,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3772,Iowa,Unknown,Sarah Trone Garriott,Iowa State Senate District 14,Democratic,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3773,Iowa,Unknown,Mark Hanson,Iowa State Senate District 14,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3774,Iowa,Unknown,Claire Celsi,Iowa State Senate District 16,Democratic,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3775,Iowa,Unknown,Julie Lasche Brown,Iowa State Senate District 16,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3776,Iowa,Unknown,Janet Petersen,Iowa State Senate District 18,Democratic,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3777,Iowa,Unknown,Nate Boulton,Iowa State Senate District 20,Democratic,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3778,Iowa,Unknown,Mike Pike,Iowa State Senate District 20,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3779,Iowa,Unknown,Brad Zaun,Iowa State Senate District 22,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3780,Iowa,Unknown,Matt Blake,Iowa State Senate District 22,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3781,Iowa,Unknown,Jesse Green,Iowa State Senate District 24,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3782,Iowa,Unknown,Margaret Liston,Iowa State Senate District 24,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3783,Iowa,Unknown,Gannon Hendrick,Iowa State Senate District 26,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3784,Iowa,Unknown,Kara Warme,Iowa State Senate District 26,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3785,Iowa,Unknown,Mike Wolfe,Iowa State Senate District 26,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3786,Iowa,Unknown,Dennis Guth,Iowa State Senate District 28,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3787,Iowa,Unknown,Cynthia Paschen,Iowa State Senate District 28,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3788,Iowa,Unknown,Waylon Brown,Iowa State Senate District 30,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3789,Iowa,Unknown,Doug Campbell,Iowa State Senate District 30,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3790,Iowa,Unknown,Richard Lorence,Iowa State Senate District 30,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3791,Iowa,Unknown,Michael T. Klimesh,Iowa State Senate District 32,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3792,Iowa,Unknown,Dan Zumbach,Iowa State Senate District 34,Republican,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3793,Iowa,Unknown,Nicholas Molo,Iowa State Senate District 36,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3794,Iowa,Unknown,Thomas Townsend,Iowa State Senate District 36,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3795,Iowa,Unknown,Eric Giddens,Iowa State Senate District 38,Democratic,Candidacy DeclaredPrimary,Y,Candidacy Declared,Primary
3796,Iowa,Unknown,James McCullagh,Iowa State Senate District 38,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3797,Iowa,Unknown,Steve Schmitt,Iowa State Senate District 38,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3798,Iowa,Unknown,Dave Sires,Iowa State Senate District 38,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3799,Iowa,Unknown,Kris Gulick,Iowa State Senate District 40,Republican,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
3800,Iowa,Unknown,Art Staed,Iowa State Senate District 40,Democratic,Candidacy DeclaredPrimary,N,Candidacy Declared,Primary
